NRT-LAX,2191696,19,115352.42,511,NRT,LAX,JP,US,138,international
LGW-LGA,2187699,19,115142.055,512,LGW,LGA,GB,US,139,international
LAX-HKG,2185800,19,115042.1,513,LAX,HKG,US,HK,140,international
LGA-SNA,2181324,19,114806.52,515,LGA,SNA,US,US,141,domestic
LGA-CDG,2153021,19,113316.9,523,LGA,CDG,US,FR,142,international
SNA-HNL,2135532,19,112396.42,528,SNA,HNL,US,US,143,domestic
HND-LAX,2131592,19,112189.055,529,HND,LAX,JP,US,144,international
MAD-LGA,2126767,19,111935.1,531,MAD,LGA,ES,US,145,international
LHR-SFO,2125849,19,111886.79,533,LHR,SFO,GB,US,146,international
TLV-JFK,2122175,19,111693.42,534,TLV,JFK,IL,US,147,international
BCN-JFK,2122076,19,111688.21,535,BCN,JFK,ES,US,148,international
FCO-EWR,2120853,19,111623.84,537,FCO,EWR,IT,US,149,international
BCN-EWR,2079422,19,109443.266,550,BCN,EWR,ES,US,150,international
HKG-SFO,2071061,19,109003.21,555,HKG,SFO,HK,US,151,international
LAX-ICN,2057458,19,108287.266,563,LAX,ICN,US,KR,152,international
MAN-EWR,2053795,19,108094.48,565,MAN,EWR,GB,US,153,international
LGA-LAS,2050291,19,107910.055,568,LGA,LAS,US,US,154,domestic
LAS-SFO,2029953,19,106839.63,579,LAS,SFO,US,US,155,domestic
JFK-CUN,2025834,19,106622.84,582,JFK,CUN,US,MX,156,international
JFK-HKG,2018320,19,106227.37,586,JFK,HKG,US,HK,157,international
EWR-ATL,2004279,19,105488.37,589,EWR,ATL,US,US,158,domestic
TLV-EWR,1992896,19,104889.266,594,TLV,EWR,IL,US,159,international
LAX-MNL,1978696,19,104141.9,603,LAX,MNL,US,PH,160,international
EWR-BUR,1975657,19,103981.945,605,EWR,BUR,US,US,161,domestic
DEL-JFK,1975628,19,103980.42,606,DEL,JFK,IN,US,162,international
BKK-LGA,1960810,19,103200.52,614,BKK,LGA,TH,US,163,international
JFK-TLV,1956706,19,102984.52,615,JFK,TLV,US,IL,164,international
EWR-CUN,1943450,19,102286.84,621,EWR,CUN,US,MX,165,international
LHR-BOS,1931206,19,101642.42,624,LHR,BOS,GB,US,166,international
LAS-SNA,1930631,19,101612.16,625,LAS,SNA,US,US,167,domestic
LGA-SJC,1905217,19,100274.58,646,LGA,SJC,US,US,168,domestic
TPE-ONT,1903720,19,100195.79,647,TPE,ONT,TW,US,169,international
LGA-ATL,1902449,19,100128.9,648,LGA,ATL,US,US,170,domestic
ICN-EWR,1894442,19,99707.48,654,ICN,EWR,KR,US,171,international
JFK-ATL,1888246,19,99381.37,655,JFK,ATL,US,US,172,domestic
DFW-EWR,1884909,19,99205.734,656,DFW,EWR,US,US,173,domestic
BUR-LGA,1881556,19,99029.266,658,BUR,LGA,US,US,174,domestic
MCO-EWR,1872200,19,98536.84,662,MCO,EWR,US,US,175,domestic
JFK-ICN,1867601,19,98294.79,664,JFK,ICN,US,KR,176,international
SYD-LAX,1866840,19,98254.734,665,SYD,LAX,AU,US,177,international
SFO-SAN,1866184,19,98220.21,666,SFO,SAN,US,US,178,domestic
EWR-MAD,1863769,19,98093.1,668,EWR,MAD,US,ES,179,international
LAX-YVR,1855800,19,97673.69,674,LAX,YVR,US,CA,180,international
JFK-MXP,1833474,19,96498.63,681,JFK,MXP,US,IT,181,international
DEL-EWR,1820800,19,95831.58,690,DEL,EWR,IN,US,182,international
JFK-DEL,1820713,19,95827.0,691,JFK,DEL,US,IN,183,international
ONT-LAS,1811918,19,95364.1,696,ONT,LAS,US,US,184,domestic
JFK-SJC,1807730,19,95143.69,700,JFK,SJC,US,US,185,domestic
EWR-SJC,1800811,19,94779.52,706,EWR,SJC,US,US,186,domestic
LAX-SEA,1789124,19,94164.42,714,LAX,SEA,US,US,187,domestic
DFW-LGA,1785591,19,93978.48,718,DFW,LGA,US,US,188,domestic
EWR-HKG,1780996,19,93736.63,720,EWR,HKG,US,HK,189,international
TSA-LAX,1777595,19,93557.63,722,TSA,LAX,TW,US,190,international
SEA-LAX,1774263,19,93382.266,724,SEA,LAX,US,US,191,domestic
LGA-CUN,1772631,19,93296.37,725,LGA,CUN,US,MX,192,international
DFW-JFK,1769563,19,93134.9,726,DFW,JFK,US,US,193,domestic
SEA-SFO,1764080,19,92846.31,730,SEA,SFO,US,US,194,domestic
LAS-BUR,1759270,19,92593.16,736,LAS,BUR,US,US,195,domestic
JFK-BCN,1753392,19,92283.79,739,JFK,BCN,US,ES,196,international
BKK-SFO,1748944,19,92049.69,741,BKK,SFO,TH,US,197,international
HNL-LAX,1743975,19,91788.16,745,HNL,LAX,US,US,198,domestic
SFO-HNL,1731949,19,91155.21,752,SFO,HNL,US,US,199,domestic
LAX-MEX,1730185,19,91062.37,753,LAX,MEX,US,MX,200,international
MEX-JFK,1719173,19,90482.79,758,MEX,JFK,MX,US,201,international
YTZ-EWR,1715474,19,90288.1,761,YTZ,EWR,CA,US,202,international
SEA-JFK,1715302,19,90279.055,762,SEA,JFK,US,US,203,domestic
EWR-SEA,1711410,19,90074.21,766,EWR,SEA,US,US,204,domestic
JFK-SEA,1697215,19,89327.1,771,JFK,SEA,US,US,205,domestic
LAX-LGW,1695411,19,89232.16,773,LAX,LGW,US,GB,206,international
LAX-ORD,1691739,19,89038.9,778,LAX,ORD,US,US,207,domestic
YVR-LAX,1690162,19,88955.9,779,YVR,LAX,CA,US,208,international
JFK-FCO,1689753,19,88934.37,781,JFK,FCO,US,IT,209,international
MCO-LGA,1682704,19,88563.37,788,MCO,LGA,US,US,210,domestic
SJC-SAN,1680622,19,88453.79,791,SJC,SAN,US,US,211,domestic
MCO-JFK,1671816,19,87990.31,798,MCO,JFK,US,US,212,domestic
LGA-LGW,1671085,19,87951.84,799,LGA,LGW,US,GB,213,international
SEA-EWR,1668935,19,87838.69,802,SEA,EWR,US,US,214,domestic
TPE-SFO,1661003,19,87421.21,809,TPE,SFO,TW,US,215,international
SNA-YVR,1657328,19,87227.79,811,SNA,YVR,US,CA,216,international
MEX-EWR,1655743,19,87144.37,812,MEX,EWR,MX,US,217,international
JFK-LIS,1653787,19,87041.42,814,JFK,LIS,US,PT,218,international
SFO-DEL,1652476,19,86972.42,815,SFO,DEL,US,IN,219,international
AMS-JFK,1651066,19,86898.21,816,AMS,JFK,NL,US,220,international
JFK-MEX,1649366,19,86808.734,818,JFK,MEX,US,MX,221,international
FRA-JFK,1648933,19,86785.945,819,FRA,JFK,DE,US,222,international
MEX-LAX,1639378,19,86283.055,822,MEX,LAX,MX,US,223,international
LGA-BUR,1637669,19,86193.1,826,LGA,BUR,US,US,224,domestic
SFO-SEA,1634895,19,86047.1,829,SFO,SEA,US,US,225,domestic
JFK-BOM,1632054,19,85897.58,831,JFK,BOM,US,IN,226,international
BOM-JFK,1624626,19,85506.63,834,BOM,JFK,IN,US,227,international
SEA-SJC,1623774,19,85461.79,837,SEA,SJC,US,US,228,domestic
LAX-CUN,1623542,19,85449.58,838,LAX,CUN,US,MX,229,international
FRA-EWR,1617356,19,85124.0,846,FRA,EWR,DE,US,230,international
LGA-SEA,1605713,19,84511.21,854,LGA,SEA,US,US,231,domestic
EWR-DEL,1605592,19,84504.84,855,EWR,DEL,US,IN,232,international
LGW-MIA,1604502,19,84447.48,858,LGW,MIA,GB,US,233,international
AMS-EWR,1603910,19,84416.31,860,AMS,EWR,NL,US,234,international
ATL-MIA,1587240,19,83538.945,867,ATL,MIA,US,US,235,domestic
BUR-OAK,1583992,17,83368.0,868,BUR,OAK,US,US,236,domestic
ICN-LGA,1578546,19,83081.37,873,ICN,LGA,KR,US,237,international
MEX-LGA,1560177,19,82114.58,887,MEX,LGA,MX,US,238,international
DUB-JFK,1559404,19,82073.9,889,DUB,JFK,IE,US,239,international
FCO-LGA,1556311,19,81911.1,892,FCO,LGA,IT,US,240,international
EWR-BOM,1547345,19,81439.21,898,EWR,BOM,US,IN,241,international
SEA-LGA,1540493,19,81078.58,905,SEA,LGA,US,US,242,domestic
EWR-LIS,1538905,19,80995.0,907,EWR,LIS,US,PT,243,international
SEA-SNA,1536632,19,80875.37,910,SEA,SNA,US,US,244,domestic
LAS-OAK,1536431,19,80864.79,911,LAS,OAK,US,US,245,domestic
DUB-EWR,1533703,19,80721.21,912,DUB,EWR,IE,US,246,international
LGA-MAD,1529778,19,80514.63,914,LGA,MAD,US,ES,247,international
LAS-SJC,1527181,19,80377.945,916,LAS,SJC,US,US,248,domestic
SAN-SFO,1525860,19,80308.42,917,SAN,SFO,US,US,249,domestic
EWR-TLV,1525848,19,80307.79,918,EWR,TLV,US,IL,250,international
SJC-SEA,1520222,19,80011.69,924,SJC,SEA,US,US,251,domestic
HNL-ONT,1514900,19,79731.58,928,HNL,ONT,US,US,252,domestic
LAX-MIA,1514469,19,79708.9,930,LAX,MIA,US,US,253,domestic
SFO-HKG,1509216,19,79432.42,936,SFO,HKG,US,HK,254,international
PVG-JFK,1508214,16,79379.69,937,PVG,JFK,CN,US,255,international
YVR-SNA,1507276,19,79330.31,938,YVR,SNA,CA,US,256,international
LGW-LAX,1506915,19,79311.31,939,LGW,LAX,GB,US,257,international
SNA-SEA,1506710,19,79300.52,940,SNA,SEA,US,US,258,domestic
EWR-MXP,1503537,19,79133.52,943,EWR,MXP,US,IT,259,international
