market,origin,dest,OriginAirport,DestinationAirport,market_key
LCY-MAD,LCY,MAD,201529600,218170368,201529600-218170368
BKK-TPE,BKK,TPE,34278144,336594176,34278144-336594176
JFK-HKG,JFK,HKG,168168192,134940416,168168192-134940416
AYT-IST,AYT,IST,18420736,152245248,18420736-152245248
FRA-SAW,FRA,SAW,101843200,318838528,101843200-318838528
EWR-ATL,EWR,ATL,85398016,18091008,85398016-18091008
TLV-LGW,TLV,LGW,336336384,201791232,336336384-201791232
KUL-NRT,KUL,NRT,185928704,236065792,185928704-236065792
TLV-OTP,TLV,OTP,336336384,252973056,336336384-252973056
CPH-LHR,CPH,LHR,51382272,201855488,51382272-201855488
TLV-EWR,TLV,EWR,336336384,85398016,336336384-85398016
SVO-AYT,SVO,AYT,320212736,18420736,320212736-18420736
LGW-CPH,LGW,CPH,201791232,51382272,201791232-51382272
KUL-CGK,KUL,CGK,185928704,50793216,185928704-50793216
HKG-CDG,HKG,CDG,134940416,50595584,134940416-50595584
TLV-PRG,TLV,PRG,336336384,269616896,336336384-269616896
PER-MEL,PER,MEL,268767744,218434560,268767744-218434560
NRT-HKG,NRT,HKG,236065792,134940416,236065792-134940416
CDG-BCN,CDG,BCN,50595584,33754624,50595584-33754624
HNL-ONT,HNL,ONT,135138304,252580864,135138304-252580864
COK-LHR,COK,LHR,51317504,201855488,51317504-201855488
LAX-MIA,LAX,MIA,201398272,218693888,201398272-218693888
LIS-LCY,LIS,LCY,201921280,201529600,201921280-201529600
AYT-SVO,AYT,SVO,18420736,320212736,18420736-320212736
SGN-HND,SGN,HND,319229440,135136256,319229440-135136256
SXR-DEL,SXR,DEL,320344576,67439616,320344576-67439616
BCN-ORY,BCN,ORY,33754624,252844288,33754624-252844288
SFO-HKG,SFO,HKG,319164160,134940416,319164160-134940416
PVG-JFK,PVG,JFK,269879040,168168192,269879040-168168192
YVR-SNA,YVR,SNA,420876800,319684864,420876800-319684864
LGW-LAX,LGW,LAX,201791232,201398272,201791232-201398272
SNA-SEA,SNA,SEA,319684864,319095040,319684864-319095040
TLV-ATH,TLV,ATH,336336384,18089984,336336384-18089984
BER-IST,BER,IST,33886720,152245248,33886720-152245248
EWR-MXP,EWR,MXP,85398016,219680768,85398016-219680768
ARN-LCY,ARN,LCY,17960448,201529600,17960448-201529600
HKG-LGA,HKG,LGA,134940416,201785600,134940416-201785600
SJC-HNL,SJC,HNL,319423232,135138304,319423232-135138304
MEL-LGW,MEL,LGW,218434560,201791232,218434560-201791232
EWR-DFW,EWR,DFW,85398016,67507968,85398016-67507968
CEB-ICN,CEB,ICN,50659840,151195136,50659840-151195136
SEA-BUR,SEA,BUR,319095040,34935296,319095040-34935296
HKT-BKK,HKT,BKK,134943744,34278144,134943744-34278144
LGW-IST,LGW,IST,201791232,152245248,201791232-152245248
LHR-BOM,LHR,BOM,201855488,34540800,201855488-34540800
LGW-BKK,LGW,BKK,201791232,34278144,201791232-34278144
HKG-LGW,HKG,LGW,134940416,201791232,134940416-201791232
NRT-ICN,NRT,ICN,236065792,151195136,236065792-151195136
SAW-VKO,SAW,VKO,318838528,369823488,318838528-369823488
LHR-LGA,LHR,LGA,201855488,201785600,201855488-201785600
CNX-BKK,CNX,BKK,51255296,34278144,51255296-34278144
SGN-BKK,SGN,BKK,319229440,34278144,319229440-34278144
STN-SAW,STN,SAW,320081408,318838528,320081408-318838528
SVO-SAW,SVO,SAW,320212736,318838528,320212736-318838528
IST-SVO,IST,SVO,152245248,320212736,152245248-320212736
STN-DXB,STN,DXB,320081408,68682240,320081408-68682240
CGK-SIN,CGK,SIN,50793216,319360512,50793216-319360512
LHR-HKG,LHR,HKG,201855488,134940416,201855488-134940416
LGW-DXB,LGW,DXB,201791232,68682240,201791232-68682240
LCY-BKK,LCY,BKK,201529600,34278144,201529600-34278144
HND-GMP,HND,GMP,135136256,118296576,135136256-118296576
DMK-CNX,DMK,CNX,67963648,51255296,67963648-51255296
LAX-JFK,LAX,JFK,201398272,168168192,201398272-168168192
LAX-EWR,LAX,EWR,201398272,85398016,201398272-85398016
DMK-HKT,DMK,HKT,67963648,134943744,67963648-134943744
LHR-SIN,LHR,SIN,201855488,319360512,201855488-319360512
LGW-DEL,LGW,DEL,201791232,67439616,201791232-67439616
VKO-TAS,VKO,TAS,369823488,335614720,369823488-335614720
ICN-MNL,ICN,MNL,151195136,219024384,151195136-219024384
ORY-JFK,ORY,JFK,252844288,168168192,252844288-168168192
SVO-HKT,SVO,HKT,320212736,134943744,320212736-134943744
ICN-DAD,ICN,DAD,151195136,67175424,151195136-67175424
LHR-ISB,LHR,ISB,201855488,152240640,201855488-152240640
CDG-BKK,CDG,BKK,50595584,34278144,50595584-34278144
LAX-SJC,LAX,SJC,201398272,319423232,201398272-319423232
LHR-SAW,LHR,SAW,201855488,318838528,201855488-318838528
LGW-HKG,LGW,HKG,201791232,134940416,201791232-134940416
IST-AYT,IST,AYT,152245248,18420736,152245248-18420736
BKK-CEI,BKK,CEI,34278144,50661632,34278144-50661632
GMP-HND,GMP,HND,118296576,135136256,118296576-135136256
HKG-ICN,HKG,ICN,134940416,151195136,134940416-151195136
AYT-VKO,AYT,VKO,18420736,369823488,18420736-369823488
VKO-BKK,VKO,BKK,369823488,34278144,369823488-34278144
VKO-EVN,VKO,EVN,369823488,85331456,369823488-85331456
HKG-STN,HKG,STN,134940416,320081408,134940416-320081408
SVO-DXB,SVO,DXB,320212736,68682240,320212736-68682240
TPE-BKK,TPE,BKK,336594176,34278144,336594176-34278144
JFK-MIA,JFK,MIA,168168192,218693888,168168192-218693888
KUL-SIN,KUL,SIN,185928704,319360512,185928704-319360512
ICN-LHR,ICN,LHR,151195136,201855488,151195136-201855488
DEL-BKK,DEL,BKK,67439616,34278144,67439616-34278144
DEL-BOM,DEL,BOM,67439616,34540800,67439616-34540800
LHR-YYZ,LHR,YYZ,201855488,421075456,201855488-421075456
